pge_id;nom;lat_deco;lon_deco;alt_deco_m;orientations;parapente;delta;thermique;soaring;treuil;cross;plaine;atterro_nom;lat_atterro;lon_atterro;alt_atterro_m;lien_pge;ffvl_id
3072;Bargemon - col du belhomme;43.6383;6.56045;1019;SE,S;1;1;1;1;0;1;0;;43.6184;6.56;348;http://www.paraglidingearth.com/?site=3072;0
2842;Barjac;44.5022;3.41861;973;SW,W;1;0;0;0;0;0;0;;44.5131;3.41722;731;http://www.paraglidingearth.com/?site=2842;0
22528;Barmerousse;45.9542;6.69335;-1;S,SW,W;1;0;1;0;0;1;0;;;;;http://www.paraglidingearth.com/?site=22528;0
2736;Barneville sur seine;49.3878;0.8481;137;N,NE,NW;1;0;1;1;0;0;0;;49.3915;0.8522;12;http://www.paraglidingearth.com/?site=2736;0
2868;Base de chambley;49.0333;5.86667;236;;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2868;0
14519;Base de treuil de Villeneuve renneville;48.9387;4.0582;104;N,NE,E,SE,S,SW,W,NW;1;0;1;0;1;0;1;;48.9388;4.0584;104;http://www.paraglidingearth.com/?site=14519;0
16544;BASSE-HAM;49.3831;6.2086;150;;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=16544;0
11398;Bastberg;48.8118;7.45119;317;N,W,NW;1;0;0;1;0;0;0;;48.8136;7.4443;217;http://www.paraglidingearth.com/?site=11398;0
2658;Battaglia;42.5483;9.00722;1096;NW;1;0;0;0;0;0;0;;42.5967;9.02889;371;http://www.paraglidingearth.com/?site=2658;0
2660;Battaglia - croce d\'olu;42.5484;8.9984;1130;NW;1;0;0;0;0;0;0;null;42.584;8.97235;119;http://www.paraglidingearth.com/?site=2660;0
14582;Batère;42.5039;2.54888;1568;E,SE,S,SW;1;0;1;0;0;1;0;Official landing;42.4882;2.55539;1020;http://www.paraglidingearth.com/?site=14582;0
9333;Baulme la Roche;47.3487;4.8015;559;SW;1;0;1;1;0;0;0;;47.347;4.7969;414;http://www.paraglidingearth.com/?site=9333;0
2702;Baume les dames;47.3494;6.38667;393;W;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2702;0
7187;Beaulieu sur layon;47.311;-0.60116;65;S,SW;1;1;1;1;0;0;0;;47.3089;-0.60227;21;http://www.paraglidingearth.com/?site=7187;0
